date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-12,2033.19995,2067.30005,2033.09998,2053.3999,2053.3999,250567,250567,20.19995,0.99351,2051.27,"January 12, 24",0.0099351
2024-01-11,2025.09998,2025.09998,2014.30005,2014.30005,2014.30005,538,538,-10.79993,-0.5333,2017.9,"January 11, 24",-0.005333
2024-01-10,2029,2035.59998,2021.69995,2021.69995,2021.69995,538,538,-7.30005,-0.35979,2026.33,"January 10, 24",-0.0035979
2024-01-09,2035.80005,2035.80005,2026.40002,2026.40002,2026.40002,27,27,-9.40003,-0.46174,2029.53,"January 09, 24",-0.0046174
2024-01-08,2019.09998,2033.69995,2019.09998,2026.59998,2026.59998,10,10,7.5,0.37145,2026.47,"January 08, 24",0.0037145
2024-01-07,2052.6001,2052.6001,2050.5,2051.30005,2051.30005,1188,1188,-1.30005,-0.06333674,2051.47,"January 07, 24",-0.0006333674
2024-01-05,2044.5,2048.1001,2042.40002,2042.40002,2042.40002,12,12,-2.09998,-0.10271,2044.3,"January 05, 24",-0.0010271
2024-01-04,2041.59998,2044.5,2038,2042.30005,2042.30005,88,88,0.70007,0.03429026,2041.6,"January 04, 24",0.0003429026
2024-01-03,2034.19995,2044,2034.19995,2034.19995,2034.19995,54,54,0,0,2037.47,"January 03, 24",0
2024-01-02,2063.5,2073.69995,2057.1001,2064.3999,2064.3999,61,61,0.8999,0.04361037,2065.07,"January 02, 24",0.0004361037
2024-01-01,2072.69995,2074.80005,2072.19995,2074.19995,2074.19995,1003,1003,1.5,0.07236938,2073.73,"January 01, 24",0.0007236938
2023-12-29,2068,2068.8999,2062.1001,2062.3999,2062.3999,47,47,-5.6001,-0.2708,2064.47,"December 29, 23",-0.002708
2023-12-28,2081.6001,2087.30005,2066.5,2073.8999,2073.8999,338,338,-7.7002,-0.36992,2075.9,"December 28, 23",-0.0036992
2023-12-27,2067.30005,2081.8999,2064.80005,2081.8999,2081.8999,586,586,14.59985,0.70623,2076.2,"December 27, 23",0.0070623
2023-12-26,2060,2060.80005,2054.19995,2058.19995,2058.19995,64,64,-1.80005,-0.08738107,2057.73,"December 26, 23",-0.0008738107
2023-12-25,2066,2067.69995,2065.19995,2067.3999,2067.3999,566,566,1.3999,0.06775895,2066.77,"December 25, 23",0.0006775895
