Datetime,Opening Price,Highest Price,Lowest Price,Closing Price,Trading Volume
2023-10-26 09:30:00,183.4,183.79,183.36,183.51,1038183
2023-10-26 10:00:00,183.51,183.54,182.87,183.01,946174
2023-10-26 10:30:00,183.0,183.67,183.0,183.59,525635
2023-10-26 11:00:00,183.59,183.74,183.28,183.34,476725
2023-10-26 11:30:00,183.34,183.74,183.3,183.66,276803
2023-10-26 12:00:00,183.65,184.17,183.6,184.13,407213
2023-10-26 12:30:00,184.14,184.14,183.83,184.01,231256
2023-10-26 13:00:00,184.0,184.49,184.0,184.27,638876
2023-10-26 13:30:00,184.27,184.35,184.14,184.27,446978
2023-10-26 14:00:00,184.28,184.29,184.07,184.12,621385
2023-10-26 14:30:00,184.11,184.26,184.09,184.17,333776
2023-10-26 15:00:00,184.17,184.25,183.84,183.85,453683
2023-10-26 15:30:00,183.85,184.07,183.82,184.01,859741
2023-10-27 09:30:00,183.76,184.09,183.51,183.87,1253514
2023-10-27 10:00:00,183.85,184.14,183.7,184.01,655062
2023-10-27 10:30:00,184.02,184.04,183.71,183.8,555661
2023-10-27 11:00:00,183.76,183.93,183.49,183.58,801687
2023-10-27 11:30:00,183.6,183.79,183.47,183.61,365965
2023-10-27 12:00:00,183.61,183.78,183.54,183.69,380939
2023-10-27 12:30:00,183.68,183.97,183.58,183.97,324922
2023-10-27 13:00:00,183.97,184.43,183.91,184.38,961391
2023-10-27 13:30:00,184.37,185.2,184.35,185.18,1449452
2023-10-27 14:00:00,185.17,186.27,185.1,186.19,2106706
2023-10-27 14:30:00,186.2,186.24,185.66,185.97,1445960
2023-10-27 15:00:00,185.98,186.36,185.91,186.05,1228524
2023-10-27 15:30:00,186.05,186.24,186.05,186.14,2134053
2023-10-30 09:30:00,185.54,185.57,185.09,185.34,1372370
2023-10-30 10:00:00,185.3,185.7,185.29,185.32,976548
2023-10-30 10:30:00,185.31,185.4,184.73,185.2,1196393
2023-10-30 11:00:00,185.2,185.51,185.12,185.49,440202
2023-10-30 11:30:00,185.49,185.49,185.27,185.39,337615
2023-10-30 12:00:00,185.41,185.5,185.25,185.44,347683
2023-10-30 12:30:00,185.45,185.54,185.33,185.37,375652
2023-10-30 13:00:00,185.37,185.42,184.98,185.09,478918
2023-10-30 13:30:00,185.09,185.46,185.05,185.3,303812
2023-10-30 14:00:00,185.29,185.46,185.25,185.32,343645
2023-10-30 14:30:00,185.32,185.32,185.22,185.27,330105
2023-10-30 15:00:00,185.26,185.35,185.09,185.1,672425
2023-10-30 15:30:00,185.1,185.21,184.98,185.09,953111
2023-10-31 09:30:00,185.08,185.86,184.96,185.72,1053706
2023-10-31 10:00:00,185.72,186.21,185.48,185.86,940814
2023-10-31 10:30:00,185.86,185.89,185.36,185.39,703953
2023-10-31 11:00:00,185.38,185.4,184.76,185.16,1328883
2023-10-31 11:30:00,185.17,185.22,184.82,184.92,497280
2023-10-31 12:00:00,184.92,184.98,184.23,184.6,880477
2023-10-31 12:30:00,184.61,184.74,184.44,184.63,430765
2023-10-31 13:00:00,184.62,184.66,184.03,184.12,712006
2023-10-31 13:30:00,184.12,184.21,183.82,183.99,563857
2023-10-31 14:00:00,183.98,184.07,183.61,183.65,505310
2023-10-31 14:30:00,183.65,184.07,183.49,184.04,599601
2023-10-31 15:00:00,184.05,184.25,184.01,184.15,581388
2023-10-31 15:30:00,184.16,184.22,184.02,184.07,930166
2023-11-01 09:30:00,183.95,184.25,183.72,184.22,1136637
2023-11-01 10:00:00,184.24,185.0,184.19,184.6,1004738
2023-11-01 10:30:00,184.59,184.75,184.24,184.24,567114
2023-11-01 11:00:00,184.24,184.29,183.8,183.83,607750
2023-11-01 11:30:00,183.84,183.9,183.46,183.54,539625
2023-11-01 12:00:00,183.54,183.66,183.28,183.4,404477
2023-11-01 12:30:00,183.39,183.46,183.1,183.41,515188
